Count,PMI,Phrases,TYPE 
107,10.17767954,it  is  essential,
107,10.37630928,success  in  life,
107,11.04890658,allows  us  to,
105,8.002313218,it  is  not,
105,10.58880841,a  person  s,
105,10.51775007,could  lead  to,
104,16.19931066,day  school  week,
104,10.35703683,may  not  be,
104,10.03880314,can  also  help,
103,11.46820066,hard  work  and,
103,8.402751231,the  pros  and,
102,7.549648412,part  of  the,
101,11.86193002,amount  of  time,
100,10.74959799,provide  students  with,
100,8.866522103,a  lack  of,
100,9.592979563,be  a  great,
99,11.35812886,is  clear  that,
99,6.769534669,to  a  career,
98,10.26761566,a  lot  of,
98,8.950881493,while  it  is,
96,12.50541592,there  is  no,
96,10.10025219,is  essential  for,
95,10.82815323,allowing  them  to,
95,8.352988266,is  important  for,
94,11.31552262,should  not  be,
94,12.13182342,activities  such  as,
93,10.98068338,are  a  few,
93,19.16976565,do  n  t,
92,10.36285296,can  be  used,
92,7.576197199,such  as  the,
91,15.64531131,those  around  us,
91,15.50239093,four  day  school,
91,8.172499036,it  can  help,
90,10.59242441,was  able  to,
90,11.27090184,there  are  also,
90,7.645241339,more  time  to,
90,7.848515326,in  the  future,
89,7.817288768,in  the  long,
88,8.455462119,the  power  of,
88,4.435353416,to  have  a,
88,8.342713519,the  courage  to,
87,8.447653619,there  are  a,
87,9.629143936,for  students  who,
86,9.275313096,a  number  of,
86,11.0008209,a  career  at,
85,7.169424059,on  the  one,
85,7.715018729,the  face  of,
84,12.59052522,one  s  own,
84,9.772720305,the  one  hand,
84,8.086174504,in  the  face,
84,13.10348738,are  more  likely,
83,12.18108068,on  one  hand,
83,8.767398296,and  cons  of,
83,6.737404239,the  benefits  of,
83,10.50099337,it  is  possible,
82,14.65832454,in  three  years,
82,9.273165066,to  participate  in,
82,10.66956105,may  not  have,
82,11.07562525,being  able  to,
81,7.079490122,to  create  a,
81,12.61596656,i  believe  that,
81,10.24527158,in  high  school,
81,10.91440615,career  at  a,
80,7.987387885,the  development  of,
80,9.234579837,have  access  to,
79,11.01765014,positive  and  negative,
79,7.32092722,there  is  a,
79,12.46878778,however  there  are,
78,7.636335422,can  provide  a,
78,6.096987343,that  it  is,
78,6.998572775,in  the  world,
77,13.84190439,there  are  several,
77,12.12607757,there  are  many,
77,4.923616088,it  is  a,
77,14.45110729,the  long  run,
77,12.85555214,a  positive  outlook,
76,7.795261203,the  lack  of,
76,11.59371862,better  understanding  of,
76,7.479319201,this  can  be,
76,11.61590383,a  better  understanding,
76,11.37862458,at  the  same,
76,12.9058823,physical  and  mental,
75,10.97826386,be  attributed  to,
75,9.04594515,however  it  is,
75,11.32209593,opportunity  to  learn,
75,12.27090184,there  are  some,
74,15.34448869,in  recent  years,
74,9.189895189,has  the  potential,
74,9.712621377,   there  are,
74,6.068913133,to  learn  and,
73,9.382534335,with  the  right,
73,8.688351024,is  a  great,
73,8.605964513,but  it  is,
73,7.908604942,that  can  help,
73,12.39168564,can  be  attributed,
73,7.946156291,also  important  to,
73,10.50470017,as  a  result,
72,9.547639556,is  also  important,
72,10.37546875,the  same  time,
72,11.4453528,around  the  world,
72,7.715038166,the  chance  to,
72,8.38550566,need  to  be,
72,13.8034193,when  faced  with,
71,11.51178691,high  school  students,
71,8.53662221,be  used  to,
70,9.541348478,committing  to  a,
70,7.880523314,with  a  positive,
70,15.27700106,first  impressions  are,
70,9.231789583,be  beneficial  in,
70,4.11078034,it  is  the,
70,8.886804455,allows  students  to,
69,9.488962982,however     it,
69,6.433465725,of  the  world,
69,11.98539377,extending  the  school,
69,8.202594211,have  a  positive,
69,10.01394603,high  school  in,
68,8.377823877,the  risk  of,
68,5.899047966,is  that  it,
68,12.78651216,face  to  face,
68,17.92764297,no  matter  how,
67,8.875874531,also  lead  to,
67,9.995242387,students  who  are,
66,8.431081223,can  help  students,
66,8.69292721,in  the  end,
65,12.72504874,family  and  friends,
65,8.480541122,which  can  be,
65,12.46312918,have  shown  that,
65,8.995897012,students  and  teachers,
65,8.913513451,to  learn  from,
64,14.70977366,classes  from  home,
63,7.381443851,can  not  be,
63,10.14756255,allows  them  to,
63,9.893499132,be  beneficial  for,
63,16.72023539,studies  have  shown,
62,7.752167237,can  make  it,
62,8.931769906,the  concept  of,
62,9.681671947,on  their  own,
62,12.14643635,for  example  if,
62,9.25543417,ultimately  it  is,
62,8.174641699,a  chance  to,
62,13.57238462,come  up  with,
61,3.991271341,and  it  is,
61,9.507103208,both  positive  and,
61,6.298473184,important  to  be,
61,11.61820274,school  in  three,
61,7.990054082,the  idea  of,
61,13.05999785,and  mental  health,
61,8.947876663,taking  the  time,
60,6.932875558,the  potential  for,
60,10.50667187,important  part  of,
60,5.867750317,some  of  the,
60,9.853219143,this  can  lead,
60,11.8024859,with  their  peers,
60,12.60957152,friends  and  family,
60,12.6496623,positive  impact  on,
60,7.295393375,in  a  world,
60,11.13412787,therefore  it  is,
59,9.304922774,and  a  half,
59,6.730079751,the  key  to,
59,9.964017527,make  the  most,
59,8.518171572,impact  on  the,
59,12.14340834,benefits  and  drawbacks,
59,6.567055251,to  understand  the,
59,8.791238979,in  the  states,
59,12.70732108,in  extracurricular  activities,
59,13.87383053,first  impressions  can,
58,10.81944386,can  be  seen,
58,7.021230113,the  process  of,
58,9.69504484,is  true  that,
58,9.41083707,they  need  to,
58,11.75877372,be  seen  as,
58,9.640968852,it  is  true,
58,10.84683281,depending  on  the,
58,9.732352748,of  our  lives,
58,10.42850427,is  an  essential,
57,8.080063055,but  it  can,
57,15.70166714,graduating  high  school,
57,8.171927366,is  possible  to,
57,3.701502226,to  the  school,
57,7.168175367,that  we  can,
57,12.56189907,take  advantage  of,
56,14.32038545,a  few  reasons,
56,10.06955617,can  also  lead,
56,5.466963707,to  take  a,
56,7.7623392,of  their  own,
56,3.983985153,and  can  be,
56,8.248624862,a  group  can,
55,16.48836548,miss  out  on,
55,13.62483644,other  hand  there,
55,12.63831651,an  important  part,
55,9.599851881,the  most  important,
55,7.267707074,it  difficult  to,
55,9.136932475,in  conclusion  it,
55,6.652856793,access  to  a,
55,10.66794609,part  of  life,
55,13.31517999,has  shown  that,
55,2.62919397,   and  the,
54,11.85367933,a  good  attitude,
54,12.94887685,whether  or  not,
54,11.3340564,for  those  who,
54,8.248388842,take  the  time,
53,8.352268954,have  the  opportunity,
53,7.919976483,can  create  a,
53,11.11508303,when  i  was,
53,5.194579869,students  with  the,
53,10.12337505,allowing  us  to,
53,13.7864929,working  in  groups,
53,7.778145944,be  beneficial  to,
53,8.633940789,aware  of  the,
53,8.212109806,help  us  to,
53,7.908657,the  consequences  of,
53,13.03255198,i  was  able,
52,9.625114226,conclusion  it  is,
52,9.687386275,"   it  ""s""",
52,11.80406578,in  today  s,
52,3.020949583,to  be  a,
52,9.243898876,to  strive  for,
52,11.62836531,this  type  of,
52,8.628658273,a  range  of,
52,7.826478267,it  may  be,
52,7.921172587,in  addition  to,
52,10.18070158,failure  is  not,
52,11.02639114,can  be  incredibly,
51,11.46186539,important  to  recognize,
51,10.6648909,a  positive  impact,
51,15.24647477,their  own  pace,
51,9.288246445,can  help  you,
51,9.42994678,allow  students  to,
51,5.388568536,to  be  more,
51,12.81420643,to  stay  focused,
51,6.270445153,is  one  of,
51,5.628043043,a  way  to,
50,7.677443415,for  example  a,
50,5.993803526,for  them  to,
50,10.0508266,important  to  understand,
50,6.374789817,the  lives  of,
50,7.065615071,in  life  it,
50,11.96597784,those  who  are,
50,7.817572307,the  number  of,
49,8.30438749,it  is  often,
49,18.60791988,problem  solving  skills,
49,7.912684064,the  quality  of,
49,8.850967377,the  idea  that,
49,10.89013765,the  world  around,
49,10.51210679,to  connect  with,
49,13.04426154,people  s  lives,
48,11.17155592,making  a  decision,
48,14.3580492,cell  phones  in,
48,9.384410789,can  help  them,
48,8.344831709,the  way  we,
48,10.75807267,which  can  lead,
48,10.55205779,be  aware  of,
48,8.562536096,the  value  of,
48,6.994877433,to  take  on,
48,6.334043475,the  most  of,
48,7.990818636,students  the  opportunity,
47,8.294444232,   which  is,
47,11.27989944,at  their  own,
47,8.582676642,to  engage  in,
47,7.494979122,to  use  their,
47,7.757265174,can  also  have,
47,7.976076185,that  they  are,
47,7.814892654,the  end  of,
47,10.22786194,an  opportunity  for,
47,11.88749275,an  individual  s,
47,11.92997488,hand  there  are,
46,11.17738618,to  take  risks,
46,17.84463213,no  matter  what,
46,9.786162997,in  our  lives,
46,7.453041263,the  effects  of,
46,8.145373861,the  comfort  of,
46,11.43144637,before  making  a,
46,8.175890515,to  a  combination,
46,11.68703405,work  and  dedication,
46,6.69212106,can  be  more,
45,14.18127864,technology  has  had,
45,7.599345787,to  be  successful,
45,11.13960248,having  a  good,
45,6.619742112,on  the  positive,
45,10.85446684,focus  on  their,
45,13.73304497,outlook  on  life,
45,5.744964674,to  become  a,
45,13.71525001,and  problem  solving,
45,8.557652626,failure  can  be,
44,4.44370818,to  take  the,
44,5.210262554,the  world  and,
44,16.00710584,after  school  homework,
44,6.701572078,due  to  a,
44,12.05279666,distance  learning  can,
44,10.09010285,to  achieve  success,
44,10.73129733,this  is  because,
44,8.047973842,it  can  lead,
44,14.31143012,be  taken  into,
44,5.601423257,students  with  a,
44,9.218972224,to  make  decisions,
44,10.65845675,as  an  opportunity,
44,9.378840261,have  a  negative,
44,6.156722955,can  make  a,
44,13.53793975,in  some  cases,
44,7.99564047,of  one  s,
43,12.66985371,our  own  decisions,
43,11.75820306,essential  part  of,
43,8.39719466,focus  on  the,
43,11.56419409,self  confidence  and,
43,7.941869115,   there  is,
43,8.24208728,the  cost  of,
43,5.068882966,that  it  can,
43,11.27695325,to  make  sure,
43,12.02604842,learn  and  grow,
43,11.21690582,stay  true  to,
43,7.596639626,for  the  future,
43,15.31305283,act  of  kindness,
43,9.77940353,beneficial  for  students,
43,9.167854589,can  result  in,
43,5.668554378,for  people  to,
43,8.445646716,more  time  for,
43,9.265982525,known  as  the,
43,5.619636153,as  it  can,
43,9.500588542,difficult  for  students,
43,8.592048685,to  reach  their,
43,8.663731804,it  easier  to,
42,6.724296134,the  power  to,
42,6.874588505,students  to  take,
42,14.27712335,young  age  can,
42,6.944872716,part  of  a,
42,6.95505996,that  having  a,
42,8.198091296,can  often  be,
42,15.51536626,n  t  have,
42,9.677423774,the  potential  benefits,
42,8.765733659,with  a  group,
42,8.373404517,and  learn  from,
42,12.40955641,factors  such  as,
42,11.05794365,take  part  in,
42,9.485834102,students  may  not,
42,7.555059277,the  freedom  to,
42,11.75207718,personal  growth  and,
42,8.371769443,   but  it,
42,13.99134439,sense  of  accomplishment,
42,6.78487591,to  grow  and,
42,10.18519887,skills  and  knowledge,
42,5.443824036,the  decision  to,
42,13.98143124,an  essential  part,
41,16.01304714,wide  range  of,
41,8.424187606,an  example  of,
41,11.25903705,skills  such  as,
41,7.10615205,in  the  same,
41,10.05251147,a  decrease  in,
41,12.70621557,along  the  way,
41,7.404252955,students  to  use,
41,6.220589168,the  impact  of,
41,12.58861764,school  day  could,
41,11.93111025,attitude  is  essential,
41,10.15960209,attitude  can  help,
41,7.909707716,working  with  a,
41,15.49113698,an  informed  decision,
41,7.574775218,well  as  the,
41,11.47383126,a  negative  attitude,
41,6.715807006,for  example  the,
41,8.064386771,important  to  take,
41,10.07487991,that  come  with,
41,8.994956224,be  difficult  for,
41,7.591474293,there  can  be,
41,15.51888502,extended  school  day,
41,8.835556059,for  many  students,
41,14.77820299,factors     including,
41,8.722694997,with  friends  and,
40,9.397624958,order  to  make,
40,11.46965776,order  to  achieve,
40,10.31580062,they  may  not,
40,6.247457036,is  up  to,
40,7.818385743,to  maintain  a,
40,10.82157964,some  students  may,
40,7.312788722,life  it  is,
40,3.419521646,can  be  the,
40,14.76166391,longer  school  day,
40,6.802496025,for  success  in,
40,9.169260969,note  that  the,
40,6.453600018,such  as  and,
40,11.18151836,on  top  of,
40,7.909109732,a  result  of,
40,11.29669592,from  high  school,
40,8.29950169,the  case  of,
40,11.45195858,sense  of  self,
40,9.918373742,learn  how  to,
40,10.11480954,knowledge  and  skills,
39,3.176969309,and  it  can,
39,13.3092815,reach  their  goals,
39,9.410674038,can  also  provide,
39,10.99343639,providing  students  with,
39,10.0287833,the  best  way,
39,11.16634032,other  hand   ,
39,8.289181509,that  failure  is,
39,10.06710236,and  hard  work,
39,16.30389598,acts  of  kindness,
39,14.54234155,courage  to  continue,
39,8.443862245,it  would  be,
39,9.267061611,in  the  workplace,
39,5.671203968,of  having  a,
39,10.9587663,be  mindful  of,
39,3.351265473,and  have  a,
39,4.374165875,one  and  a,
39,7.99784775,it  is  up,
39,8.169942026,they  can  also,
39,11.48630479,a  great  opportunity,
39,6.407526604,the  advantages  of,
39,7.060206911,could  be  a,
39,14.77468746,integral  part  of,
39,9.743730201,has  had  a,
38,7.320241599,outside  of  the,
38,8.597137238,lead  to  success,
38,15.01558799,a  powerful  tool,
38,10.97371602,achieving  success  in,
38,10.78364216,"it  ""s""  important",
38,8.752592237,is  the  courage,
38,15.92560786,a  wide  range,
38,11.02689416,impact  on  our,
38,7.215044724,both  students  and,
38,14.02706743,high  school  early,
38,12.52927437,growth  and  development,
38,10.99067852,of  those  around,
38,7.89667242,to  become  more,
38,8.765119798,of  high  school,
38,8.996725573,"""s""  important  to",
38,6.029012995,also  be  a,
38,8.505991571,as  part  of,
38,8.950586368,a  source  of,
38,11.49490511,in  many  ways,
38,6.852354226,however     the,
38,8.355995946,their  ability  to,
38,4.275055121,for  students  and,
38,4.584481973,of  life  and,
38,11.81897024,this  means  that,
38,11.34152044,a  good  example,
38,13.85357938,combination  of  factors,
38,8.421523014,can  provide  students,
38,6.800482807,a  part  of,
38,11.74250213,with  each  other,
38,5.435315624,is  not  a,
37,7.096836271,have  the  potential,
37,7.180045913,success  it  is,
37,7.469757168,end  of  the,
37,8.561794445,it  difficult  for,
37,10.90219325,gives  us  the,
37,7.047527444,to  pursue  a,
37,5.177182628,and  can  help,
37,10.69214602,make  it  difficult,
37,9.72450336,seen  as  a,
37,5.36395907,the  need  to,
37,8.368919066,that  there  are,
37,11.86740816,mental  and  physical,
37,7.968350299,with  family  and,
37,12.71634418,working  alone  can,
37,7.097956871,leading  to  a,
37,11.70128803,their  own  decisions,
37,13.17368575,true  to  oneself,
37,9.470398443,opportunity  for  students,
37,16.95591412,an  integral  part,
37,11.14482518,opportunity  to  explore,
37,9.459322854,all  of  these,
37,9.458725706,which  can  help,
37,11.41524172,the  positive  side,
37,12.24239604,stay  motivated  and,
37,11.30380955,it  allows  us,
37,12.28520159,can  open  up,
37,14.42859501,technology  has  made,
36,5.87147935,to  explore  and,
36,10.01725788,the  fact  that,
36,6.490738595,is  difficult  to,
36,10.24931244,from  the  comfort,
36,9.90240131,best  way  to,
36,8.309846477,in  the  past,
36,6.665868923,they  can  be,
36,4.484975897,up  to  the,
36,10.48948968,an  increase  in,
36,13.82154657,make  an  informed,
36,10.6391413,here  are  a,
36,9.475481407,high  school  can,
36,10.42938243,can  benefit  from,
36,7.622119934,ensure  that  the,
36,10.64762024,to  do  something,
36,6.260062368,to  gain  a,
36,9.955986676,for  example  when,
36,9.636112092,without  having  to,
36,14.45829479,yes     there,
36,10.34421315,being  true  to,
36,9.566507351,be  a  powerful,
36,4.09081829,in  the  school,
36,7.832956218,from  failure  to,
36,8.832961194,to  complete  their,
36,8.957772919,to  continue  that,
35,9.384615764,but  it  also,
35,9.501693932,on  people  s,
35,6.419644053,of  the  classroom,
35,17.69376553,school  homework  club,
35,5.67729707,the  advantages  and,
35,7.612272671,to  feelings  of,
35,10.71210017,to  keep  up,
35,7.467466878,contribute  to  the,
35,18.29217037,continue  that  counts,
35,8.840991758,important  to  stay,
35,9.082609066,the  pursuit  of,
35,8.79007919,for  some  students,
35,4.743857228,to  success  in,
35,9.308470525,own  decisions  and,
35,9.432326516,to  be  aware,
35,10.84879425,lead  to  increased,
35,9.06468858,of  kindness  can,
35,14.00176411,year  high  school,
35,7.700171484,   which  can,
35,7.977304273,students  may  be,
35,7.706004213,on  a  career,
35,12.07228424,to  stay  motivated,
35,3.661947017,of  the  school,
35,3.459683481,to  a  more,
35,13.86108365,is  not  fatal,
35,6.843238111,you  have  a,
35,10.29956564,allow  them  to,
35,13.7723925,achieve  our  goals,
35,8.4950859,in  the  case,
35,7.015230529,also  help  to,
35,6.60914875,to  make  an,
35,4.938771888,students  have  the,
35,7.011406735,phones  in  the,
35,13.35267993,problem  solving  and,
35,14.06339319,attributed  to  several,
34,7.166187998,the  classroom  can,
34,10.28665545,to  give  up,
34,10.34319195,their  high  school,
34,14.04886255,distance  learning  has,
34,7.368981884,with  the  opportunity,
34,9.607977486,failure  to  failure,
34,14.72346938,final  failure  is,
34,10.77151507,while  there  are,
34,16.41956171,not  final  failure,
34,17.15059206,research  has  shown,
34,13.14912418,when  making  decisions,
34,13.12302657,learn  more  about,
34,13.0548422,keep  up  with,
34,13.06183378,is  not  final,
34,11.00190337,have  found  that,
34,9.351543008,it  could  also,
34,11.52802968,those  who  have,
34,10.91487078,gain  a  better,
34,13.46722699,that  first  impressions,
34,7.730470227,in  a  variety,
34,9.396163051,on  one  s,
34,10.16776194,can  be  especially,
34,6.638941247,in  the  process,
34,10.44327331,of  hard  work,
34,13.98479724,not  fatal  it,
34,11.72648652,a  career  path,
34,5.705527567,not  have  the,
34,9.514747336,as  it  allows,
34,8.141521659,may  lead  to,
34,8.474424235,   leading  to,
34,12.28870491,fatal  it  is,
34,9.808433874,impressions  can  be,
34,7.559110616,and  disadvantages  of,
33,4.996218143,all  of  the,
33,7.2216084,a  world  that,
33,8.334505327,example  of  this,
33,10.69125723,on  our  lives,
33,9.373493214,time  and  energy,
33,7.286444289,learning  can  be,
33,8.932346931,the  school  year,
33,14.00196596,significant  impact  on,
33,10.08071343,students  are  able,
33,10.81978402,is  not  always,
33,12.25165982,a  significant  impact,
33,7.064893542,the  need  for,
33,11.16175013,order  to  ensure,
33,6.044667611,a  world  of,
33,11.80842983,true  to  ourselves,
33,10.84939504,of  distance  learning,
33,4.066018488,      and,
33,8.470004078,that  may  not,
33,7.709066967,our  goals  and,
33,10.20268131,who  you  are,
33,6.074920955,to  stay  in,
33,7.373229303,advantage  of  the,
32,9.515772823,be  detrimental  to,
32,6.579560948,in  conclusion  the,
32,4.100328461,the  help  of,
32,11.34192397,whether  it  s,
32,10.86233841,extracurricular  activities  and,
32,11.16684557,benefits  such  as,
32,11.01350788,   known  as,
32,8.837848832,the  presence  of,
32,10.47632164,lead  to  greater,
32,7.270437031,lead  to  an,
32,16.49728904,experts  and  authorities,
32,6.192459125,a  career  in,
32,10.01349575,comfort  of  their,
32,9.561328037,be  seen  in,
32,8.284451196,that  should  be,
32,11.31414253,period  of  time,
32,6.657676342,is  the  best,
32,12.38958377,get  to  know,
32,12.23172254,stay  focused  and,
32,7.347363465,as  a  way,
32,7.451612793,it  can  provide,
32,7.066881839,to  recognize  the,
32,10.09022937,been  able  to,
32,9.343333505,phones  can  be,
32,6.321748356,for  students  with,
32,8.623184659,we  need  to,
32,8.112360103,world  that  is,
32,7.670649132,important  for  students,
32,6.815709955,as  they  can,
31,11.67344989,resources  such  as,
31,10.2888126,can  be  achieved,
31,9.92627433,to  failure  without,
31,14.12741784,cell  phones  can,
31,10.91725185,i  decided  to,
31,8.046529194,likely  to  be,
31,6.05090633,to  get  a,
31,11.03840251,encourages  us  to,
31,7.976687029,this  can  help,
31,10.16110576,a  longer  school,
31,10.74483738,to  stay  true,
31,6.776090024,life  it  can,
31,9.022491134,often  lead  to,
31,7.384412934,could  have  a,
31,5.81032482,even  in  the,
31,15.93030768,task  at  hand,
31,10.49880789,on  their  studies,
31,9.194932858,has  been  a,
31,14.58874904,negative  effects  on,
31,8.317219695,make  a  positive,
31,7.860820588,to  succeed  in,
31,16.98622725,take  into  account,
31,8.007760344,the  student  s,
31,7.040885085,success  can  be,
31,8.991259525,us  to  stay,
31,8.31789875,attributed  to  a,
31,12.64587738,make  sure  that,
31,7.297409877,in  their  own,
31,8.900181753,is  a  powerful,
31,10.88843158,in  conclusion  while,
31,8.906554227,students  should  be,
31,9.440551783,there  may  be,
31,5.284684884,is  also  a,
31,9.535548868,a  wealth  of,
31,7.066220105,of  the  material,
30,9.580398021,to  achieving  success,
30,7.248445932,in  the  field,
30,9.563875042,positive  attitude  in,
30,10.02607859,use  of  technology,
30,11.03134704,there  are  both,
30,10.6326791,in  achieving  success,
30,7.321679502,to  stay  on,
30,10.14114726,people  who  are,
30,8.436638438,an  understanding  of,
30,14.86219581,a  homework  club,
30,9.857080049,ensure  that  students,
30,6.440290671,and  should  be,
30,9.521307206,that  must  be,
30,7.910913928,technology  can  be,
30,10.65065628,take  risks  and,
30,8.939529407,make  the  best,
30,5.269228907,as  it  is,
30,5.914789373,in  a  way,
30,8.454974624,can  have  both,
30,12.10814587,self  esteem  and,
30,17.76414117,than  ever  before,
30,10.25959245,people  who  have,
30,6.921617189,the  form  of,
30,4.893211118,   it  can,
30,8.557653875,of  the  main,
30,11.95257704,greater  sense  of,
30,13.47500119,negative  impact  on,
30,8.014620779,it  is  difficult,
30,10.3900504,other  hand  it,
30,10.01035136,it  easier  for,
30,16.38830596,seeking  guidance  from,
30,7.524346478,us  to  make,
30,10.56339743,you  want  to,
30,10.87019096,over  time   ,
30,11.26543229,more  important  than,
30,7.364805344,is  key  to,
29,10.35369415,if  we  are,
29,8.519679119,to  commit  to,
29,8.941995014,failure  is  an,
29,14.41668143,a  half  hours,
29,7.835124694,give  students  the,
29,7.608246479,that  you  are,
29,14.06710066,deeper  understanding  of,
29,14.18132148,world  around  us,
29,14.08928587,a  deeper  understanding,
29,7.868932048,attitude  can  be,
29,9.205916119,commit  to  a,
29,10.24013292,ultimately  the  decision,
29,3.992684762,time  in  the,
29,11.19351647,what  you  have,
29,6.849051887,in  activities  that,
29,11.90663232,with  one  another,
29,9.227613484,firstly     the,
29,13.54392668,achieving  our  goals,
29,8.905579379,students  who  have,
29,4.380874941,the  skills  and,
29,9.524629701,helps  us  to,
29,8.549771571,can  help  people,
29,8.158242416,our  lives  and,
29,8.839637307,based  on  the,
29,4.219645523,have  to  be,
29,11.02891226,online  classes  can,
29,5.330180354,out  of  the,
29,15.35909913,day  work  week,
29,7.260936877,in  the  form,
29,8.675927291,benefit  from  the,
29,14.4504922,going  from  failure,
29,9.69451292,key  to  success,
29,9.57711521,for  high  school,
29,2.03001966,the  students  and,
29,8.556552804,for  a  few,
29,10.78808423,the  task  at,
29,12.88933809,to  stay  connected,
29,8.227338199,it  s  also,
29,15.19221723,factors  firstly   ,
29,13.86036366,sense  of  purpose,
29,14.79025407,not  only  does,
28,7.681591683,to  weigh  the,
28,18.47376536,have  already  mastered,
28,11.32718608,can  be  extremely,
28,6.16772568,the  benefit  of,
28,8.809093926,the  people  around,
28,11.87522658,a  greater  sense,
28,18.72794696,does  n  t,
28,9.136907111,able  to  take,
28,6.6039652,a  way  that,
28,9.116224817,have  a  significant,
28,10.77554365,can  be  detrimental,
28,8.165417812,t  have  to,
28,9.676358017,a  break  from,
28,10.18698868,work  together  to,
28,11.92889439,setting  a  good,
28,10.71262138,there  are  potential,
28,5.40237351,it  s  a,
28,4.43283391,success  in  the,
28,8.30970723,needs  to  be,
28,15.16752008,loss  of  enthusiasm,
28,13.88622025,an  effective  way,
28,7.508931966,is  essential  in,
28,10.57319355,provides  students  with,
28,5.654791624,the  confidence  to,
28,8.705324831,they  are  not,
28,11.51397177,   there  were,
28,12.507034,from  our  mistakes,
28,14.38567915,stay  focused  on,
28,5.42987259,to  explore  the,
28,6.979256971,that  there  is,
28,8.22834721,may  be  more,
28,9.851077781,all  in  all,
28,19.78285244,extra  curricular  activities,
28,8.263402163,   including  the,
28,7.276174446,is  the  key,
28,13.27858439,a  balance  between,
28,8.096716905,of  people  who,
28,6.937762327,of  a  four,
28,9.161683917,but  it  s,
28,11.83151249,no  matter  the,
28,12.85270255,a  three  year,
28,10.50265728,may  be  able,
28,8.893835218,lead  to  better,
28,7.821556431,to  explore  their,
28,10.66969333,and  extracurricular  activities,
28,19.37813818,cell  phone  use,
28,7.238434976,lead  to  more,
28,11.11590739,has  become  an,
28,13.19221233,of  cell  phones,
28,14.72609956,an  early  age,
28,7.963055538,i  had  to,
28,7.588656022,more  difficult  to,
27,12.96262905,you  have  already,
27,14.87828174,their  cell  phones,
27,13.66321803,older  and  younger,
27,6.745340771,to  be  able,
27,10.19502589,trying  to  make,
27,12.69730877,pursuit  of  success,
27,4.194038683,and  lead  to,
27,7.606276143,to  learn  more,
27,19.32200493,few  reasons  why,
27,8.651857142,to  recognize  that,
27,9.816748514,as  long  as,
27,10.81984477,to  take  advantage,
27,5.447977822,us  to  be,
27,11.63578276,aspects  of  life,
27,8.677911796,is  a  complex,
27,8.482306534,   which  are,
27,11.61673365,to  attend  classes,
27,12.78286815,has  its  own,
